"Prediction","Acer_freemanii","Acer_glabra","Acer_grandidentatum","Acer_negundo","Acer_pilosum","Acer_platanoides","Acer_saccharinum","Acer_saccharum","Acer_sieboldianum","Acer_tataricum","Acer_ukurunduense","Aesculus_hippocastanum","Aesculus_x hybride","Alnus_glutinosa","Alnus_incana","Ambrosia_artemisiifolia","Amelanchier_canadensis","Amelanchier_laevis","Betula_alleghaniensis","Betula_nigra","Betula_papyrifera","Betula_pendula","Betula_populifolia","Carpinus_caroliniana","Carya_cordiformis","Carya_glabra","Carya_ovata","Celtis_occidentalis","Corylus_avellana","Corylus_colurna","Corylus_cornuta","Cupressaceae_","Elaeagnus_angustifolia","Fagus_grandifolia","Fraxinus_americana","Fraxinus_nigra","Fraxinus_pennsylvannica","Ginkgo_biloba","Juglans_cinera","Juglans_nigra","Juniperus_chinensis","Juniperus_communis","Ligustrum_vulgare","Malus_baccata","Malus_pumila","Ostrya_virginiana","Picea_abies","Pinus_banksiana","Pinus_nigra","Pinus_parviflora","Pinus_ponderosa","Pinus_resinosa","Pinus_thunbergii","Populus_spp","Prunus_padus","Prunus_serrulata","Prunus_virginiana","Pyrus_calleryana ""chantecler""","Pyrus_ussuriensis","Quercus_alba","Quercus_bicolor","Quercus_macrocarpa","Quercus_palustris","Quercus_robur","Quercus_rubra","Robinia_pseudoacacia","Salix_cinerea","Salix_gracilistyla","Salix_nigra","Salix_udensis","Sorbus_intermedia","Syringa_reticulata","Syringa_villosa","Syringa_vulgaris","Syringa_x chinensis","Syringa_x prestoniae","Taxus_canadensis","Taxus_cuspidata","Taxus_x media","Tilia_americana","Tilia_cordata","Ulmus_americana","Ulmus_bergmanianna","Ulmus_glabra","Ulmus_minor","Ulmus_propinqua","Ulmus_pumila"
"Taxus_cuspidata",0,1,0,0,0,0,0,0,2,0,12,18,0,0,2,1,0,0,0,16,0,0,24,0,0,0,0,0,1,1,0,9,0,2,0,7,10,1,0,0,3,0,0,0,0,6,0,0,1,6,0,14,0,0,0,0,0,0,0,29,0,0,0,12,17,0,0,0,4,4,0,0,0,0,0,0,29,3970,303,0,0,0,0,0,0,0,0
"Taxus_x media",0,0,0,0,0,0,0,0,0,0,5,18,1,0,0,0,0,0,2,4,3,0,3,0,0,0,1,0,0,1,0,26,0,6,0,3,5,0,0,0,61,2,0,0,0,7,0,0,0,3,0,2,0,0,0,0,0,0,0,44,0,1,0,2,4,0,0,1,2,3,0,0,1,0,0,0,57,78,4359,0,0,0,0,0,0,0,0
"Tilia_americana",2,0,0,0,3,0,0,0,4,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,3,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,5,1,3,0,0,0,711,120,0,0,0,0,0,0
"Tilia_cordata",5,1,0,0,0,0,2,0,0,4,0,0,2,2,0,0,0,2,1,0,2,0,0,0,1,0,13,1,0,1,0,0,0,1,0,0,2,0,0,2,6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,8,0,1,0,0,0,1,1,0,1,6,0,0,1,0,2,2,5,3,1,0,0,0,0,234,2208,0,0,0,0,0,0
"Ulmus_americana",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,571,0,0,4,13,41
"Ulmus_bergmanianna",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,96,0,7,1,10
"Ulmus_glabra",0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,195,0,0,0
"Ulmus_minor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,64,10,11
"Ulmus_propinqua",0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,6,0,157,907,123
"Ulmus_pumila",0,0,0,3,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,1,0,0,0,0,0,0,0,0,0,1,0,133,34,0,76,220,1568
