"Prediction","Acer_freemanii","Acer_glabra","Acer_grandidentatum","Acer_negundo","Acer_pilosum","Acer_platanoides","Acer_saccharinum","Acer_saccharum","Acer_sieboldianum","Acer_tataricum","Acer_ukurunduense","Aesculus_hippocastanum","Aesculus_x hybride","Alnus_glutinosa","Alnus_incana","Ambrosia_artemisiifolia","Amelanchier_canadensis","Amelanchier_laevis","Betula_alleghaniensis","Betula_nigra","Betula_papyrifera","Betula_pendula","Betula_populifolia","Carpinus_caroliniana","Carya_cordiformis","Carya_glabra","Carya_ovata","Celtis_occidentalis","Corylus_avellana","Corylus_colurna","Corylus_cornuta","Cupressaceae_","Elaeagnus_angustifolia","Fagus_grandifolia","Fraxinus_americana","Fraxinus_nigra","Fraxinus_pennsylvannica","Ginkgo_biloba","Juglans_cinera","Juglans_nigra","Juniperus_chinensis","Juniperus_communis","Ligustrum_vulgare","Malus_baccata","Malus_pumila","Ostrya_virginiana","Picea_abies","Pinus_banksiana","Pinus_nigra","Pinus_parviflora","Pinus_ponderosa","Pinus_resinosa","Pinus_thunbergii","Populus_spp","Prunus_padus","Prunus_serrulata","Prunus_virginiana","Pyrus_calleryana ""chantecler""","Pyrus_ussuriensis","Quercus_alba","Quercus_bicolor","Quercus_macrocarpa","Quercus_palustris","Quercus_robur","Quercus_rubra","Robinia_pseudoacacia","Salix_cinerea","Salix_gracilistyla","Salix_nigra","Salix_udensis","Sorbus_intermedia","Syringa_reticulata","Syringa_villosa","Syringa_vulgaris","Syringa_x chinensis","Syringa_x prestoniae","Taxus_canadensis","Taxus_cuspidata","Taxus_x media","Tilia_americana","Tilia_cordata","Ulmus_americana","Ulmus_bergmanianna","Ulmus_glabra","Ulmus_minor","Ulmus_propinqua","Ulmus_pumila"
"Ginkgo_biloba",0,1,0,0,0,0,2,0,0,7,0,1,3,0,0,2,1,3,3,4,13,1,5,1,0,0,2,1,0,1,0,0,0,1,3,1,6,2868,0,1,1,1,0,0,0,60,0,0,0,0,0,0,0,0,1,1,0,0,1,7,48,6,5,87,8,0,0,0,12,0,2,0,23,0,40,1,0,0,4,0,0,0,0,0,0,0,0
"Juglans_cinera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"Juglans_nigra",1,0,0,0,0,0,1,0,3,0,3,0,0,0,0,0,0,0,10,0,3,0,0,0,1,0,29,0,0,1,0,0,0,0,0,1,1,1,0,778,0,0,0,0,0,0,2,2,0,4,0,2,0,0,2,3,0,0,0,0,3,3,12,7,16,1,1,0,2,0,0,2,11,10,3,0,0,0,0,0,0,0,0,0,1,0,0
"Juniperus_chinensis",0,7,0,0,0,0,0,0,4,0,7,7,12,0,0,0,1,0,1,2,0,0,4,0,0,0,8,1,0,1,0,8,0,7,0,0,14,0,0,0,1383,0,0,0,0,1,0,0,2,3,0,1,0,0,4,0,1,0,0,12,2,1,0,0,5,20,0,0,2,2,1,0,0,0,0,0,1,2,33,1,0,0,0,1,0,0,0
"Juniperus_communis",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,6,2,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,10311,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,1,1,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0
"Ligustrum_vulgare",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1302,0,0,0,6,2,0,2,0,1,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"Malus_baccata",2,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,1,573,0,0,2,0,0,1,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,2,0,0,0,0,0,0
"Malus_pumila",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,756,0,2,0,1,1,0,3,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ostrya_virginiana",1,1,0,0,0,4,29,0,0,2,2,1,1,1,0,21,3,33,1,1,5,1,4,19,0,2,52,0,0,0,2,2,0,0,0,5,4,97,0,1,20,4,1,0,0,7337,0,0,1,4,0,5,0,0,0,1,1,0,0,3,24,1,2,89,32,0,0,0,58,0,9,0,7,0,12,17,0,3,15,0,0,0,0,3,0,0,0
"Picea_abies",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,159,1,0,8,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Pinus_banksiana",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,7,253,1,16,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0
"Pinus_nigra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17,6,0,0,0,0,0,0,2,0,0,0,2,0,1,2,4119,5,0,20,20,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Pinus_parviflora",0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,6,15,7,611,6,46,1,0,0,0,0,0,0,1,0,0,2,1,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pinus_ponderosa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,530,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pinus_resinosa",0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,2,0,0,0,0,11,4,0,0,1,0,0,8,1,0,0,0,0,1,1,15,0,1,0,5,0,23,77,37,66,15,1831,2,0,0,0,0,1,0,0,0,0,1,1,7,0,0,0,2,0,3,1,5,2,6,0,0,0,0,0,2,0,0,0,0,0,0
"Pinus_thunbergii",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,3,2,1,1,591,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Populus_spp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1123,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,11,0
"Prunus_padus",1,6,0,0,0,0,0,0,1,5,1,0,4,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,5,0,0,1,0,0,0,0,1,0,0,2,0,0,170,0,2,0,0,1,0,0,0,0,1,3,0,0,3,0,0,0,1,0,1,0,0,0,0,1,0,0,0,6,0,0,0
"Prunus_serrulata",8,0,26,0,2,0,0,0,12,4,16,0,1,0,0,0,3,4,2,2,3,0,0,0,0,0,16,0,0,1,0,0,2,3,0,0,6,5,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,3,1130,0,0,1,2,0,6,0,1,15,0,0,0,3,0,0,0,9,1,5,0,2,0,0,2,6,0,0,2,0,0,0
"Prunus_virginiana",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,297,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pyrus_calleryana ""chantecler""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,301,0,0,0,1,0,0,0,1,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0
"Pyrus_ussuriensis",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Quercus_alba",0,4,0,0,0,0,0,0,1,0,44,12,3,0,0,0,6,0,3,41,21,0,50,3,1,0,9,0,2,12,2,4,2,18,1,12,22,4,0,2,41,0,0,0,0,14,0,0,4,5,1,12,1,0,2,1,0,0,1,2926,2,9,7,24,13,9,0,0,15,5,1,0,2,0,0,0,32,22,69,0,0,0,0,1,0,0,0
"Quercus_bicolor",0,1,0,0,0,0,0,0,1,1,0,0,3,3,0,2,26,6,6,3,2,10,8,0,2,0,2,61,2,3,0,0,0,9,3,0,18,22,0,0,1,0,0,0,0,7,0,0,1,0,0,2,0,0,2,1,0,0,0,6,4790,6,8,39,1,0,0,0,0,0,12,1,19,146,35,2,1,1,1,2,2,0,0,0,0,0,0
"Quercus_macrocarpa",1,1,4,0,2,0,2,1,1,4,5,10,0,0,0,0,0,2,1,17,6,1,1,0,1,0,25,1,0,10,0,1,0,4,37,1,41,4,0,1,6,0,0,0,0,4,0,0,1,2,0,4,0,0,2,1,0,3,0,21,4,4105,5,4,8,0,0,0,0,0,1,0,32,12,1,0,0,0,3,1,1,0,0,1,0,0,0
"Quercus_palustris",0,0,1,0,2,0,0,3,0,1,1,0,0,1,0,0,0,0,1,9,23,7,3,15,0,0,15,0,0,26,0,0,9,6,27,3,6,3,2,26,4,0,0,7,0,0,3,0,1,4,1,7,1,0,0,3,0,0,0,5,3,8,1753,69,86,0,0,0,5,0,3,0,4,7,1,4,1,0,0,0,0,0,0,0,0,0,0
"Quercus_robur",1,1,1,0,6,1,5,2,3,7,2,0,1,6,1,2,1,38,12,13,37,17,23,16,0,0,49,7,3,18,6,0,2,3,9,1,13,132,2,18,8,1,0,0,2,72,2,2,0,5,0,23,0,0,2,8,0,1,0,3,48,6,89,6129,65,0,0,0,69,1,6,1,58,12,111,9,1,19,10,5,10,0,0,0,0,0,1
"Quercus_rubra",1,1,5,0,1,1,3,0,3,5,31,3,1,0,0,3,0,2,9,18,41,1,17,11,0,1,4,0,0,30,6,3,4,22,12,18,44,8,0,17,7,0,0,0,0,6,3,0,7,9,0,17,0,0,5,9,0,1,0,14,5,19,72,43,1034,1,0,0,39,0,0,0,20,2,6,7,4,1,0,0,0,0,0,4,0,0,0
