"Prediction","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: Quercus_alba",0,1,NA,0.9832,NA,0,NA,0.0168,0,0,0.5
"Class: Quercus_bicolor",0,1,NA,0.972,NA,0,NA,0.028,0,0,0.5
"Class: Quercus_macrocarpa",0,1,NA,0.9774,NA,0,NA,0.0226,0,0,0.5
"Class: Quercus_palustris",0,1,NA,0.9889,NA,0,NA,0.0111,0,0,0.5
"Class: Quercus_robur",0,1,NA,0.9632,NA,0,NA,0.0368,0,0,0.5
"Class: Quercus_rubra",0,1,NA,0.9906,NA,0,NA,0.0094,0,0,0.5
"Class: Robinia_pseudoacacia",0,1,NA,0.9971,NA,0,NA,0.0029,0,0,0.5
"Class: Salix_cinerea",0,1,NA,0.9919,NA,0,NA,0.0081,0,0,0.5
"Class: Salix_gracilistyla",0,1,NA,0.9933,NA,0,NA,0.0067,0,0,0.5
"Class: Salix_nigra",0,1,NA,0.9819,NA,0,NA,0.0181,0,0,0.5
"Class: Salix_spp",0,1,NA,0.9885,NA,0,NA,0.0115,0,0,0.5
"Class: Salix_udensis",0,1,NA,0.9746,NA,0,NA,0.0254,0,0,0.5
"Class: Sorbus_intermedia",0,1,NA,0.9979,NA,0,NA,0.0021,0,0,0.5
"Class: Syringa_reticulata",0,1,NA,0.9968,NA,0,NA,0.0032,0,0,0.5
"Class: Syringa_villosa",0,1,NA,0.9852,NA,0,NA,0.0148,0,0,0.5
"Class: Syringa_vulgaris",0,1,NA,0.9893,NA,0,NA,0.0107,0,0,0.5
"Class: Syringa_xchinensis",0,1,NA,0.9865,NA,0,NA,0.0135,0,0,0.5
"Class: Syringa_xprestoniae",0,1,NA,0.9852,NA,0,NA,0.0148,0,0,0.5
"Class: Taxus_canadensis",0,1,NA,0.9975,NA,0,NA,0.0025,0,0,0.5
"Class: Taxus_cuspidata",0,1,NA,0.9775,NA,0,NA,0.0225,0,0,0.5
"Class: Taxus_xmedia",0,1,NA,0.9741,NA,0,NA,0.0259,0,0,0.5
"Class: Tilia_americana",0,1,NA,0.9951,NA,0,NA,0.0049,0,0,0.5
"Class: Tilia_cordata",0,1,NA,0.9872,NA,0,NA,0.0128,0,0,0.5
"Class: Ulmus_ameicana",0,1,NA,0.996,NA,0,NA,0.004,0,0,0.5
"Class: Ulmus_bergmanianna",0,1,NA,0.999,NA,0,NA,0.001,0,0,0.5
"Class: Ulmus_glabra",0,1,NA,0.9983,NA,0,NA,0.0017,0,0,0.5
"Class: Ulmus_minor",0,1,NA,0.9983,NA,0,NA,0.0017,0,0,0.5
"Class: Ulmus_propinqua",0,1,NA,0.9938,NA,0,NA,0.0062,0,0,0.5
"Class: Ulmus_pumila",0,1,NA,0.9901,NA,0,NA,0.0099,0,0,0.5
