Prediction;Acer_glabra;Acer_grandidentatum;Acer_negundo;Acer_pilosum;Acer_platanoides;Acer_saccharinum;Acer_saccharum;Acer_sieboldianum;Acer_tataricum;Acer_ukurunduense;Aesculus_hippocastanum;Aesculus_x hybride;Alnus_glutinosa;Alnus_incana;Ambrosia_artemisiifolia;Amelanchier_canadensis;Amelanchier_laevis;Betula_alleghaniensis;Betula_nigra;Betula_papyrifera;Betula_pendula;Betula_populifolia;Carpinus_betulus;Carpinus_caroliniana;Carya_cordiformis;Carya_glabra;Carya_ovata;Celtis_occidentalis;Corylus_avellana;Corylus_colurna;Corylus_cornuta;Cupressaceae_others;Elaeagnus_angustifolia;Fraxinus_americana;Fraxinus_pennsylvannica;Ginkgo_biloba;Gleditsia_triacanthos;Juglans_cinera;Juglans_nigra;Juniperus_chinensis;Juniperus_communis;Ligustrum_vulgare;Malus_baccata;Malus_pumila;Malus_spectabilis;Ostrya_virginiana;Picea_abies;Pinus_banksiana;Pinus_nigra;Pinus_parviflora;Pinus_ponderosa;Pinus_resinosa;Pinus_thunbergii;Populus_spp;Prunus_padus;Prunus_serotina;Prunus_serrulata;Prunus_virginiana;"Pyrus_calleryana ""chantecler""";Pyrus_ussuriensis;Quercus_alba;Quercus_bicolor;Quercus_macrocarpa;Quercus_palustris;Quercus_robur;Quercus_rubra;Robinia_pseudoacacia;Salix_cinerea;Salix_nigra;Salix_udensis;Sorbus_intermedia;Syringa_reticulata;Syringa_villosa;Syringa_vulgaris;Syringa_x chinensis;Syringa_x prestoniae;Taxus_canadensis;Taxus_cuspidata;Tilia_americana;Tilia_cordata;Ulmus_americana;Ulmus_bergmanianna;Ulmus_glabra;Ulmus_minor;Ulmus_propinqua;Ulmus_pumila
Alnus_glutinosa;0;0;0;0;0;0;0;0;0;0;0;0;311;0;0;0;0;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
Alnus_incana;0;0;1;0;0;0;0;0;0;0;0;0;0;292;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ambrosia_artemisiifolia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;286;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Amelanchier_canadensis;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;249;11;1;0;0;0;0;0;1;0;0;1;8;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;3;4;1;0;1;0;1;0;0;0;0;0;0;0
Amelanchier_laevis;0;0;0;0;0;3;0;0;0;2;0;0;0;0;0;2;278;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;2;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;2;0;0;1
Betula_alleghaniensis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;276;1;3;2;0;0;0;0;0;0;0;0;4;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Betula_nigra;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;219;4;0;10;0;6;0;0;0;0;0;18;1;3;1;1;5;0;0;0;0;0;0;0;0;0;0;0;2;0;0;3;0;2;0;0;0;1;0;0;0;0;3;0;2;2;0;2;0;0;1;0;2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
Betula_papyrifera;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;6;217;7;1;0;2;0;0;2;0;0;6;0;0;0;1;2;0;0;0;3;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;9;2;2;0;0;2;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
Betula_pendula;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;4;251;4;0;2;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;7;4;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Betula_populifolia;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;8;2;9;263;0;2;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;3;0;0;0;3;2;0;0;1;0;0;0;0;0;0;0;5;2;0;0;0;0;0;0;0;0
