Prediction;Acer_glabra;Acer_grandidentatum;Acer_negundo;Acer_pilosum;Acer_platanoides;Acer_saccharinum;Acer_saccharum;Acer_sieboldianum;Acer_tataricum;Acer_ukurunduense;Aesculus_hippocastanum;Aesculus_x hybride;Alnus_glutinosa;Alnus_incana;Ambrosia_artemisiifolia;Amelanchier_canadensis;Amelanchier_laevis;Betula_alleghaniensis;Betula_nigra;Betula_papyrifera;Betula_pendula;Betula_populifolia;Carpinus_betulus;Carpinus_caroliniana;Carya_cordiformis;Carya_glabra;Carya_ovata;Celtis_occidentalis;Corylus_avellana;Corylus_colurna;Corylus_cornuta;Cupressaceae_others;Elaeagnus_angustifolia;Fraxinus_americana;Fraxinus_pennsylvannica;Ginkgo_biloba;Gleditsia_triacanthos;Juglans_cinera;Juglans_nigra;Juniperus_chinensis;Juniperus_communis;Ligustrum_vulgare;Malus_baccata;Malus_pumila;Malus_spectabilis;Ostrya_virginiana;Picea_abies;Pinus_banksiana;Pinus_nigra;Pinus_parviflora;Pinus_ponderosa;Pinus_resinosa;Pinus_thunbergii;Populus_spp;Prunus_padus;Prunus_serotina;Prunus_serrulata;Prunus_virginiana;"Pyrus_calleryana ""chantecler""";Pyrus_ussuriensis;Quercus_alba;Quercus_bicolor;Quercus_macrocarpa;Quercus_palustris;Quercus_robur;Quercus_rubra;Robinia_pseudoacacia;Salix_cinerea;Salix_nigra;Salix_udensis;Sorbus_intermedia;Syringa_reticulata;Syringa_villosa;Syringa_vulgaris;Syringa_x chinensis;Syringa_x prestoniae;Taxus_canadensis;Taxus_cuspidata;Tilia_americana;Tilia_cordata;Ulmus_americana;Ulmus_bergmanianna;Ulmus_glabra;Ulmus_minor;Ulmus_propinqua;Ulmus_pumila
Pinus_banksiana;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;21;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;8;231;0;14;0;30;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Pinus_nigra;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;284;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pinus_parviflora;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;216;3;17;0;0;0;0;0;0;1;0;0;0;0;1;0;2;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pinus_ponderosa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;3;263;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pinus_resinosa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;3;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;15;5;17;3;211;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Pinus_thunbergii;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49;0;0;0;1;0;1;0;0;221;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Populus_spp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;299;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;1
Prunus_padus;12;0;0;0;0;0;0;1;4;1;2;6;1;1;0;3;0;1;1;2;1;2;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;9;0;0;0;0;7;0;0;0;0;0;0;0;0;0;234;11;0;4;0;0;1;1;0;0;0;3;3;0;1;1;2;0;8;0;1;0;1;0;0;0;0;1;2;1;0;0
Prunus_serotina;5;0;0;0;0;0;0;0;4;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;5;0;0;0;0;0;0;0;0;0;15;247;0;8;0;0;0;1;0;0;0;1;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0
Prunus_serrulata;0;2;0;0;0;1;0;2;8;5;0;0;0;0;0;1;2;0;0;1;0;0;0;0;0;0;9;0;0;1;0;0;1;1;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;274;1;0;0;1;0;2;0;0;3;0;0;0;0;2;1;1;0;1;0;0;0;0;0;1;0;1;0;0;0
Prunus_virginiana;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;293;0;0;0;0;0;0;0;0;1;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Pyrus_calleryana ""chantecler""";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;2;2;0;0;0;0;0;0;0;0;4;0;0;2;0;0;1;0;2;0;3;0;0;0;0;1;4;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;286;2;0;0;0;0;0;0;0;0;0;0;5;0;11;5;0;0;0;0;0;0;0;0;3;0;0;0
Pyrus_ussuriensis;0;5;0;2;0;3;0;1;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;299;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0
Quercus_alba;0;0;0;0;0;0;0;0;0;8;1;0;0;0;0;0;0;0;11;0;0;11;0;2;0;0;1;0;0;0;1;1;0;0;3;0;0;0;0;5;0;0;0;0;0;0;1;0;1;4;0;1;0;0;0;0;0;0;0;0;226;0;0;1;0;1;3;0;5;1;0;0;0;0;0;0;11;10;0;0;0;0;0;0;0;0
Quercus_bicolor;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;1;0;0;0;0;0;0;0;0;9;0;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;243;0;0;4;0;0;0;0;0;3;0;0;14;5;1;0;0;1;0;0;0;0;0;0;0
Quercus_macrocarpa;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;5;1;0;2;0;0;0;7;5;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;292;2;0;1;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
Quercus_palustris;0;1;0;0;0;0;2;0;0;1;0;1;0;0;0;0;0;0;0;2;0;0;0;7;0;0;5;0;0;7;0;0;0;10;0;1;2;0;5;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;208;10;22;0;0;1;0;1;0;2;1;0;0;0;0;0;0;0;0;1;0;0;0
Quercus_robur;0;0;0;1;0;0;3;1;2;0;0;0;0;0;0;2;6;1;0;5;1;0;2;5;0;0;1;1;0;1;1;0;0;0;0;11;4;0;3;1;0;0;0;1;0;5;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;5;0;1;193;4;0;0;7;0;0;0;1;0;2;0;0;1;0;0;0;0;0;0;0;0
Quercus_rubra;1;1;0;0;0;0;0;0;0;7;0;1;0;0;0;0;1;2;2;14;1;2;0;5;0;0;1;0;0;11;1;0;1;3;3;0;0;0;8;5;0;0;0;0;0;1;0;0;0;2;0;4;0;0;2;0;1;1;0;0;1;0;1;15;2;143;0;0;7;0;3;0;4;0;1;2;2;1;0;0;0;0;3;1;0;0
Robinia_pseudoacacia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;2;1;0;0;0;0;1;0;0;0;290;0;1;0;0;0;1;0;0;0;0;0;1;2;0;0;6;0;0;0
Salix_cinerea;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;267;0;7;0;0;0;0;0;0;0;0;0;0;4;3;0;3;5;3
Salix_nigra;0;0;0;0;0;0;0;1;0;2;1;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;1;1;2;0;0;0;0;0;0;0;3;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;1;0;0;0;0;5;0;0;0;4;8;0;0;272;1;0;0;1;0;0;0;4;7;0;0;0;0;0;0;0;0
Salix_udensis;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;9;0;274;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
Sorbus_intermedia;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;1;3;1;1;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;3;0;0;0;0;0;1;0;0;0;1;0;1;0;4;0;0;0;0;0;1;0;0;0;0;0;220;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
Syringa_reticulata;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;290;0;7;0;0;0;0;0;0;0;0;0;0;0;0
Syringa_villosa;0;0;0;1;0;1;0;0;2;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;4;0;1;0;0;0;2;2;1;1;0;0;0;0;2;0;0;0;1;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;2;0;0;2;9;1;0;2;0;6;0;190;5;0;1;0;0;0;0;0;0;1;0;0;0
Syringa_vulgaris;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;5;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;6;0;0;0;1;0;0;0;0;1;3;3;245;3;0;0;0;0;0;0;0;0;0;0;0
Syringa_x chinensis;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;5;0;0;0;0;0;0;0;1;8;264;0;0;0;0;0;0;0;0;0;0;0
Syringa_x prestoniae;0;0;0;1;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;2;0;4;0;0;0;5;1;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;8;0;0;0;0;0;0;3;0;1;258;0;0;0;0;0;0;2;0;0;0
Taxus_canadensis;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;2;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;245;6;0;0;0;0;0;0;0;0
Taxus_cuspidata;0;0;0;0;0;0;0;1;0;6;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;5;0;0;0;1;5;0;0;1;2;0;0;0;0;0;0;4;274;0;0;0;0;0;0;0;0
Tilia_americana;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;1;0;0;1;0;0;0;1;0;0;0;2;0;0;1;0;0;0;0;0;0;0;2;0;1;0;0;262;69;0;0;0;0;0;0
Tilia_cordata;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;1;1;0;0;0;0;10;223;0;0;1;0;0;0
Ulmus_americana;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;240;1;0;10;6;28
Ulmus_bergmanianna;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;260;0;12;1;17
Ulmus_glabra;0;0;0;3;1;11;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;3;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;4;1;0;0;0;0;0;3;1;1;2;0;0;0;0;0;0;238;0;0;0
Ulmus_minor;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;11;3;0;160;62;26
Ulmus_propinqua;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;8;1;0;57;190;18
Ulmus_pumila;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;22;14;0;23;34;184
