"Prediction","Acer_glabra","Acer_grandidentatum","Acer_negundo","Acer_pilosum","Acer_platanoides","Acer_saccharinum","Acer_saccharum","Acer_sieboldianum","Acer_tataricum","Acer_ukurunduense","Aesculus_hippocastanum","Aesculus_x hybride","Alnus_glutinosa","Alnus_incana","Ambrosia_artemisiifolia","Amelanchier_canadensis","Amelanchier_laevis","Betula_alleghaniensis","Betula_nigra","Betula_papyrifera","Betula_pendula","Betula_populifolia","Carpinus_betulus","Carpinus_caroliniana","Carya_cordiformis","Carya_glabra","Carya_ovata","Celtis_occidentalis","Corylus_avellana","Corylus_colurna","Corylus_cornuta","Cupressaceae_","Elaeagnus_angustifolia","Fraxinus_americana","Fraxinus_pennsylvannica","Ginkgo_biloba","Gleditsia_triacanthos","Juglans_cinera","Juglans_nigra","Juniperus_chinensis","Juniperus_communis","Ligustrum_vulgare","Malus_baccata","Malus_pumila","Malus_spectabilis","Ostrya_virginiana","Picea_abies","Pinus_banksiana","Pinus_nigra","Pinus_parviflora","Pinus_ponderosa","Pinus_resinosa","Pinus_thunbergii","Populus_spp","Prunus_padus","Prunus_serotina","Prunus_serrulata","Prunus_virginiana","Pyrus_calleryana ""chantecler""","Pyrus_ussuriensis","Quercus_alba","Quercus_bicolor","Quercus_macrocarpa","Quercus_palustris","Quercus_robur","Quercus_rubra","Robinia_pseudoacacia","Salix_cinerea","Salix_nigra","Salix_udensis","Sorbus_intermedia","Syringa_reticulata","Syringa_villosa","Syringa_vulgaris","Syringa_x chinensis","Syringa_x prestoniae","Taxus_canadensis","Taxus_cuspidata","Tilia_americana","Tilia_cordata","Ulmus_americana","Ulmus_bergmanianna","Ulmus_glabra","Ulmus_minor","Ulmus_propinqua","Ulmus_pumila"
"Aesculus_hippocastanum",0,0,0,0,0,0,0,0,0,2,288,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,1,0,4,0,0,10,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Aesculus_x hybride",2,0,0,0,0,0,0,0,2,0,1,274,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0
"Alnus_glutinosa",0,0,0,0,0,0,0,0,0,0,0,0,309,0,0,0,0,4,0,1,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Alnus_incana",0,0,1,0,0,0,0,0,0,0,0,0,0,293,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"Ambrosia_artemisiifolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Amelanchier_canadensis",0,1,0,0,0,0,0,0,1,6,0,0,0,0,0,243,9,0,0,0,0,0,0,1,0,0,5,15,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,3,1,0,2,0,1,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0
"Amelanchier_laevis",0,1,0,0,0,5,0,1,0,1,0,0,0,0,0,3,271,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Betula_alleghaniensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,2,4,7,1,0,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Betula_nigra",1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,5,206,5,0,6,0,3,0,0,1,1,0,18,1,2,0,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,8,7,0,3,0,0,2,0,2,0,3,1,0,0,1,1,0,0,0,0,0,0,0,0
"Betula_papyrifera",0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,5,4,183,9,3,0,1,0,0,0,0,0,1,2,0,0,3,2,0,1,0,15,0,0,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7,2,2,0,0,1,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Betula_pendula",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,4,233,5,1,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,4,1,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Betula_populifolia",0,0,0,3,0,0,0,0,1,0,0,1,2,0,0,0,0,1,6,3,11,255,0,2,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,3,0,0,0,1,0,0,0,1,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0
"Carpinus_betulus",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,260,3,0,2,3,0,0,0,0,0,0,0,0,0,1,1,5,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carpinus_caroliniana",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,10,4,1,2,231,0,0,4,0,0,1,4,1,1,1,0,1,4,1,1,0,1,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,37,16,22,0,1,4,1,0,0,0,0,0,8,1,0,1,0,0,1,0,0,1,0
"Carya_cordiformis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,282,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,1,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"Carya_glabra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,187,8,0,0,1,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,1,22,0,19,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
"Carya_ovata",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,2,6,0,1,0,3,0,6,153,0,0,5,4,0,3,0,4,1,1,0,3,4,0,0,0,0,0,1,1,10,0,2,0,3,0,0,0,0,1,0,0,0,0,0,1,1,3,3,0,0,0,0,0,1,3,1,1,1,0,0,0,1,0,0,1,0,0,0
"Celtis_occidentalis",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,2,0,1,0,0,0,0,0,0,0,0,276,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,8,1,0,2,1,0,0,1,1,4,0,9,5,0,0,0,0,0,0,0,0,0,0,0,1
"Corylus_avellana",0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,1,0,0,0,0,4,0,0,2,2,4
"Corylus_colurna",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,12,5,6,0,8,0,0,6,1,0,180,1,1,0,4,5,1,1,0,6,0,1,1,1,0,0,0,3,1,0,3,0,2,0,0,0,0,0,0,1,0,4,1,1,10,4,5,0,0,2,0,3,0,22,1,0,0,1,1,0,0,0,0,1,0,0,0
"Corylus_cornuta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,1,273,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,4,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0
"Cupressaceae_",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,253,0,0,0,0,1,0,0,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,23,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0
"Elaeagnus_angustifolia",0,1,0,0,0,0,1,3,0,10,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,8,3,0,0,1,0,0,246,0,0,0,0,0,2,2,0,0,0,2,3,0,0,0,2,1,1,2,3,0,2,0,4,0,1,0,0,0,1,0,0,2,5,0,0,0,3,2,1,0,0,0,1,0,0,1,0,0,2,0,0,0
"Fraxinus_americana",0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,7,0,1,4,0,0,0,0,0,0,0,0,0,0,1,262,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,1,0,0,2,8,1,2,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fraxinus_pennsylvannica",1,0,0,0,0,0,0,0,6,1,6,2,0,0,0,0,2,0,3,1,0,2,0,0,0,0,2,2,0,7,3,0,0,1,206,0,0,0,0,0,0,0,1,0,0,1,2,1,0,2,0,3,0,0,1,0,1,0,3,0,1,0,0,0,0,3,1,0,0,1,1,0,10,0,1,0,0,1,0,0,0,0,5,0,0,0
"Ginkgo_biloba",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,221,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,16,4,0,0,1,0,1,0,1,1,16,0,0,0,0,0,0,0,0,0,0,0
"Gleditsia_triacanthos",0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,10,0,0,0,0,1,0,0,0,1,268,0,0,1,0,0,0,0,0,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,2,0,4,3,0,0,0,5,0,0,0,0,0,0,1,0,0,0
"Juglans_cinera",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,2,0,0,1,0,0,0,0,295,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"Juglans_nigra",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,2,24,1,0,15,0,0,1,13,0,0,5,0,0,0,0,2,1,1,0,217,1,0,0,0,0,2,0,1,4,0,2,0,2,0,0,1,1,2,0,1,0,0,0,0,5,0,6,0,0,0,0,4,1,0,3,1,0,1,0,0,0,0,0,0,0,1,0
"Juniperus_chinensis",8,1,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,216,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,2,1,0,2,1,0,0,0,1,0,1,0,0
"Juniperus_communis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,290,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ligustrum_vulgare",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,2,0,0,0,0,0,3,0,0,0,5,0,0,0,0,3,0,1,0,0,0,0,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"Malus_baccata",0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,266,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
"Malus_pumila",0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,0,0,2,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Malus_spectabilis",1,0,0,0,0,0,0,1,1,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,7,0,0,0,0,242,0,1,0,2,0,0,0,0,0,18,2,3,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,3,0,1,0,0,0,9,0,0,0
"Ostrya_virginiana",0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,6,0,0,0,0,0,0,6,0,0,1,0,0,0,0,2,0,0,0,6,11,0,0,2,1,0,0,0,0,225,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,5,0,0,7,1,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Picea_abies",0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,6,0,0,0,1,0,2,1,0,0,0,0,0,1,240,4,0,13,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"Pinus_banksiana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,6,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,1,7,191,0,19,2,23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0
"Pinus_nigra",0,2,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,280,1,0,0,3,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0
"Pinus_parviflora",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,8,1,195,4,12,0,0,0,0,0,0,1,0,0,0,0,1,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pinus_ponderosa",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,15,256,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pinus_resinosa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,10,2,0,0,3,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,4,26,4,12,5,209,1,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Pinus_thunbergii",0,0,0,0,0,1,0,1,1,8,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,60,0,0,0,0,0,0,0,1,224,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Populus_spp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,1
"Prunus_padus",12,0,0,0,0,0,0,1,2,1,1,1,1,1,0,4,0,1,2,0,0,1,0,0,0,0,0,1,0,2,0,1,0,0,1,0,0,0,3,12,0,0,0,0,11,0,0,1,0,0,0,0,0,0,214,9,2,4,0,0,0,1,0,0,0,3,3,0,2,1,8,0,4,0,0,0,2,1,2,2,0,0,1,0,0,0
"Prunus_serotina",5,0,0,0,1,0,0,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,8,0,0,0,0,0,0,0,0,0,13,245,0,7,0,0,1,0,0,0,0,1,1,0,4,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0
"Prunus_serrulata",0,2,0,0,0,0,0,1,5,4,0,3,0,0,0,0,3,1,1,2,0,0,0,0,0,0,4,0,0,1,0,0,0,1,4,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,269,0,0,0,2,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Prunus_virginiana",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,296,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Pyrus_calleryana ""chantecler""",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,2,0,1,0,0,2,3,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,267,2,0,0,0,0,0,0,0,0,0,0,6,0,8,2,0,1,0,0,0,0,0,0,8,0,0,0
"Pyrus_ussuriensis",0,4,0,2,1,5,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"Quercus_alba",1,1,0,0,0,0,0,0,1,1,2,2,0,0,0,1,0,0,3,6,1,2,0,1,0,0,1,1,0,4,1,1,0,1,4,2,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,2,0,0,182,0,0,2,1,0,0,0,1,1,1,0,0,1,1,0,8,3,0,0,0,0,0,0,0,0
"Quercus_bicolor",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,1,3,0,0,2,0,0,0,0,0,7,0,0,0,0,0,0,7,5,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,21,228,2,1,0,0,0,0,0,0,1,0,0,12,6,1,2,0,0,0,0,0,0,0,0,0
"Quercus_macrocarpa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1,0,3,4,0,4,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,1,1,290,0,0,1,0,0,0,0,1,0,1,5,0,0,0,2,0,0,0,0,0,0,0,0
"Quercus_palustris",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,2,5,0,0,0,0,0,4,0,0,0,4,1,1,1,0,6,0,0,0,0,0,0,0,3,1,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,185,2,11,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0
"Quercus_robur",0,0,0,1,0,0,3,0,1,1,0,1,0,0,0,1,4,0,1,5,1,0,1,9,0,0,2,2,0,3,0,0,0,0,0,12,3,0,1,2,0,0,0,0,0,3,1,0,0,0,0,4,0,0,1,0,0,0,0,0,0,4,0,0,188,8,0,0,15,0,1,0,1,0,4,0,4,0,0,0,0,0,0,0,0,0
"Quercus_rubra",0,1,0,0,0,0,0,0,0,4,0,1,0,0,0,1,2,2,7,9,0,2,0,7,0,0,0,0,0,10,1,0,2,4,3,1,3,0,10,2,0,0,0,0,2,2,0,1,0,4,3,3,0,0,3,1,2,0,0,0,1,0,0,14,5,156,0,0,3,0,0,0,5,1,2,1,2,0,1,0,0,0,3,0,0,0
